y_norm,vy_norm,dist_norm,delta_gap_norm,action
0.5,0.0,1.0,0.195,0
0.50058335,0.029166667,1.0,0.19441667,0
0.50175,0.058333334,1.0,0.19325,0
0.5035,0.0875,1.0,0.1915,0
0.5058333,0.11666667,1.0,0.18916667,0
0.50875,0.14583333,1.0,0.18625,0
0.51225,0.175,1.0,0.18275,0
0.51633334,0.20416667,1.0,0.17866667,0
0.521,0.23333333,1.0,0.174,0
0.52625,0.2625,1.0,0.16875,0
0.53208333,0.29166666,1.0,0.16291666,0
0.5385,0.32083333,1.0,0.1565,0
0.5455,0.35,1.0,0.1495,0
0.55308336,0.37916666,1.0,0.14191666,0
0.56125,0.40833333,1.0,0.13375,0
0.57,0.4375,1.0,0.125,0
0.5793333,0.46666667,1.0,0.115666665,0
0.58925,0.49583334,0.9975,0.10575,0
0.59975,0.525,0.99,0.09525,1
0.5886667,-0.5541667,0.9825,0.10633333,0
0.57816666,-0.525,0.975,0.11683334,0
0.56825,-0.49583334,0.9675,0.12675,0
0.5589167,-0.46666667,0.96,0.13608333,0
0.55016667,-0.4375,0.9525,0.14483333,0
0.542,-0.40833333,0.945,0.153,0
0.5344167,-0.37916666,0.9375,0.16058333,0
0.52741665,-0.35,0.93,0.16758333,0
0.521,-0.32083333,0.9225,0.174,0
0.51516664,-0.29166666,0.915,0.17983334,0
0.50991666,-0.2625,0.9075,0.18508333,0
0.50525,-0.23333333,0.9,0.18975,0
0.50116664,-0.20416667,0.8925,0.19383334,0
0.49766666,-0.175,0.885,0.19733334,0
0.49475,-0.14583333,0.8775,0.20025,0
0.49241668,-0.11666667,0.87,0.20258333,0
0.49066666,-0.0875,0.8625,0.20433334,0
0.4895,-0.058333334,0.855,0.2055,0
0.48891667,-0.029166667,0.8475,0.20608333,0
0.48891667,-1.7578532e-16,0.84,0.20608333,0
0.4895,0.029166667,0.8325,0.2055,0
0.49066666,0.058333334,0.825,0.20433334,0
0.49241668,0.0875,0.8175,0.20258333,0
0.49475,0.11666667,0.81,0.20025,0
0.49766666,0.14583333,0.8025,0.19733334,0
0.50116664,0.175,0.795,0.19383334,0
0.50525,0.20416667,0.7875,0.18975,0
0.50991666,0.23333333,0.78,0.18508333,0
0.51516664,0.2625,0.7725,0.17983334,0
0.521,0.29166666,0.765,0.174,0
0.52741665,0.32083333,0.7575,0.16758333,0
0.5344167,0.35,0.75,0.16058333,0
0.542,0.37916666,0.7425,0.153,0
0.55016667,0.40833333,0.735,0.14483333,0
0.5589167,0.4375,0.7275,0.13608333,0
0.56825,0.46666667,0.72,0.12675,0
0.57816666,0.49583334,0.7125,0.11683334,0
0.5886667,0.525,0.705,0.10633333,1
0.5775833,-0.5541667,0.6975,0.117416665,0
0.56708336,-0.525,0.69,0.12791666,0
0.5571667,-0.49583334,0.6825,0.13783333,0
0.5478333,-0.46666667,0.675,0.14716667,0
0.53908336,-0.4375,0.6675,0.15591666,0
0.5309167,-0.40833333,0.66,0.16408333,0
0.5233333,-0.37916666,0.6525,0.17166667,0
0.51633334,-0.35,0.645,0.17866667,0
0.50991666,-0.32083333,0.6375,0.18508333,0
0.50408334,-0.29166666,0.63,0.19091667,0
0.49883333,-0.2625,0.6225,0.19616666,0
0.49416667,-0.23333333,0.615,0.20083334,0
0.49008334,-0.20416667,0.6075,0.20491667,0
0.48658332,-0.175,0.6,0.20841667,0
0.48366666,-0.14583333,0.5925,0.21133333,1
0.47258332,-0.5541667,0.585,0.22241667,1
0.4615,-0.5541667,0.5775,0.2335,1
0.45041665,-0.5541667,0.57,0.24458334,1
0.43933332,-0.5541667,0.5625,0.25566667,1
0.42825,-0.5541667,0.555,0.26675,1
0.41716668,-0.5541667,0.5475,0.27783334,1
0.40608335,-0.5541667,0.54,0.28891668,1
0.395,-0.5541667,0.5325,0.3,1
0.38391668,-0.5541667,0.525,0.31108335,1
0.37283334,-0.5541667,0.5175,0.32216668,1
0.36175,-0.5541667,0.51,0.33325,1
0.35066667,-0.5541667,0.5025,0.34433332,1
0.33958334,-0.5541667,0.495,0.35541666,1
0.3285,-0.5541667,0.4875,0.3665,1
0.31741667,-0.5541667,0.48,0.37758332,1
0.30633333,-0.5541667,0.4725,0.38866666,1
0.29525,-0.5541667,0.465,0.39975,1
0.28416666,-0.5541667,0.4575,0.41083333,1
0.27308333,-0.5541667,0.45,0.42191666,1
0.262,-0.5541667,0.4425,0.433,1
0.25091666,-0.5541667,0.435,0.44408333,1
0.23983334,-0.5541667,0.4275,0.45516667,1
0.22875,-0.5541667,0.42,0.46625,1
0.21766667,-0.5541667,0.4125,0.47733334,1
0.20658334,-0.5541667,0.405,0.48841667,1
0.1955,-0.5541667,0.3975,0.4995,1
0.18441667,-0.5541667,0.39,0.51058334,1
0.17333333,-0.5541667,0.3825,0.52166665,1
0.16225,-0.5541667,0.375,0.53275,1
0.15116666,-0.5541667,0.3675,0.5438333,1
0.14008333,-0.5541667,0.36,0.5549167,1
0.129,-0.5541667,0.3525,0.566,1
0.117916666,-0.5541667,0.345,0.57708335,1
0.10683333,-0.5541667,0.3375,0.58816665,1
0.09575,-0.5541667,0.33,0.59925,1
0.08466667,-0.5541667,0.3225,0.6103333,1
0.073583335,-0.5541667,0.315,0.6214167,1
0.0625,-0.5541667,0.3075,0.6325,1
0.051416665,-0.5541667,0.3,0.64358336,1
0.040333334,-0.5541667,0.2925,0.65466666,1
0.02925,-0.5541667,0.285,0.66575,1
0.018166667,-0.5541667,0.2775,0.67683333,1
0.0070833336,-0.5541667,0.27,0.6879167,1
0.5,0.0,1.0,-0.33,0
0.50058335,0.029166667,1.0,-0.33058333,0
0.50175,0.058333334,1.0,-0.33175,0
0.5035,0.0875,1.0,-0.3335,0
0.5058333,0.11666667,1.0,-0.33583334,0
0.50875,0.14583333,1.0,-0.33875,0
0.51225,0.175,1.0,-0.34225,0
0.51633334,0.20416667,1.0,-0.34633332,0
0.521,0.23333333,1.0,-0.351,0
0.52625,0.2625,1.0,-0.35625,0
0.53208333,0.29166666,1.0,-0.36208335,0
0.5385,0.32083333,1.0,-0.3685,0
0.5455,0.35,1.0,-0.3755,0
0.55308336,0.37916666,1.0,-0.38308334,0
0.56125,0.40833333,1.0,-0.39125,0
0.57,0.4375,1.0,-0.4,0
0.5793333,0.46666667,1.0,-0.40933332,0
0.58925,0.49583334,0.9975,-0.41925,0
0.59975,0.525,0.99,-0.42975,1
0.5886667,-0.5541667,0.9825,-0.41866666,0
0.57816666,-0.525,0.975,-0.40816668,0
0.56825,-0.49583334,0.9675,-0.39825,0
0.5589167,-0.46666667,0.96,-0.38891667,0
0.55016667,-0.4375,0.9525,-0.38016668,0
0.542,-0.40833333,0.945,-0.372,0
0.5344167,-0.37916666,0.9375,-0.36441666,0
0.52741665,-0.35,0.93,-0.35741666,0
0.521,-0.32083333,0.9225,-0.351,0
0.51516664,-0.29166666,0.915,-0.34516665,0
0.50991666,-0.2625,0.9075,-0.33991668,0
0.50525,-0.23333333,0.9,-0.33525,0
0.50116664,-0.20416667,0.8925,-0.33116665,0
0.49766666,-0.175,0.885,-0.32766667,0
0.49475,-0.14583333,0.8775,-0.32475,0
0.49241668,-0.11666667,0.87,-0.32241666,0
0.49066666,-0.0875,0.8625,-0.32066667,0
0.4895,-0.058333334,0.855,-0.3195,0
0.48891667,-0.029166667,0.8475,-0.31891668,0
0.48891667,-1.7578532e-16,0.84,-0.31891668,0
0.4895,0.029166667,0.8325,-0.3195,0
0.49066666,0.058333334,0.825,-0.32066667,0
0.49241668,0.0875,0.8175,-0.32241666,0
0.49475,0.11666667,0.81,-0.32475,0
0.49766666,0.14583333,0.8025,-0.32766667,0
0.50116664,0.175,0.795,-0.33116665,0
0.50525,0.20416667,0.7875,-0.33525,0
0.50991666,0.23333333,0.78,-0.33991668,0
0.51516664,0.2625,0.7725,-0.34516665,0
0.521,0.29166666,0.765,-0.351,0
0.52741665,0.32083333,0.7575,-0.35741666,0
0.5344167,0.35,0.75,-0.36441666,0
0.542,0.37916666,0.7425,-0.372,0
0.55016667,0.40833333,0.735,-0.38016668,0
0.5589167,0.4375,0.7275,-0.38891667,0
0.56825,0.46666667,0.72,-0.39825,0
0.57816666,0.49583334,0.7125,-0.40816668,0
0.5886667,0.525,0.705,-0.41866666,1
0.5775833,-0.5541667,0.6975,-0.40758333,0
0.56708336,-0.525,0.69,-0.39708334,0
0.5571667,-0.49583334,0.6825,-0.38716668,0
0.5478333,-0.46666667,0.675,-0.37783334,0
0.53908336,-0.4375,0.6675,-0.36908334,0
0.5309167,-0.40833333,0.66,-0.36091667,0
0.5233333,-0.37916666,0.6525,-0.35333332,0
0.51633334,-0.35,0.645,-0.34633332,0
0.50991666,-0.32083333,0.6375,-0.33991668,0
0.50408334,-0.29166666,0.63,-0.33408332,0
0.49883333,-0.2625,0.6225,-0.32883334,0
0.49416667,-0.23333333,0.615,-0.32416666,0
0.49008334,-0.20416667,0.6075,-0.32008332,0
