y_norm,vy_norm,dist_norm,delta_gap_norm,action
0.5,0.0,1.0,0.195,0
0.50058335,0.029166667,1.0,0.19441667,0
0.50175,0.058333334,1.0,0.19325,0
0.5035,0.0875,1.0,0.1915,0
0.5058333,0.11666667,1.0,0.18916667,0
0.50875,0.14583333,1.0,0.18625,0
0.51225,0.175,1.0,0.18275,0
0.51633334,0.20416667,1.0,0.17866667,0
0.521,0.23333333,1.0,0.174,0
0.52625,0.2625,1.0,0.16875,0
0.53208333,0.29166666,1.0,0.16291666,0
0.5385,0.32083333,1.0,0.1565,0
0.5455,0.35,1.0,0.1495,0
0.55308336,0.37916666,1.0,0.14191666,0
0.56125,0.40833333,1.0,0.13375,0
0.57,0.4375,1.0,0.125,0
0.5793333,0.46666667,1.0,0.115666665,0
0.58925,0.49583334,0.9975,0.10575,0
0.59975,0.525,0.99,0.09525,1
0.5886667,-0.5541667,0.9825,0.10633333,0
0.57816666,-0.525,0.975,0.11683334,0
0.56825,-0.49583334,0.9675,0.12675,0
0.5589167,-0.46666667,0.96,0.13608333,0
0.55016667,-0.4375,0.9525,0.14483333,0
0.542,-0.40833333,0.945,0.153,0
0.5344167,-0.37916666,0.9375,0.16058333,0
0.52741665,-0.35,0.93,0.16758333,0
0.521,-0.32083333,0.9225,0.174,0
0.51516664,-0.29166666,0.915,0.17983334,0
0.50991666,-0.2625,0.9075,0.18508333,0
0.50525,-0.23333333,0.9,0.18975,0
0.50116664,-0.20416667,0.8925,0.19383334,0
0.49766666,-0.175,0.885,0.19733334,0
0.49475,-0.14583333,0.8775,0.20025,0
0.49241668,-0.11666667,0.87,0.20258333,0
0.49066666,-0.0875,0.8625,0.20433334,0
0.4895,-0.058333334,0.855,0.2055,0
0.48891667,-0.029166667,0.8475,0.20608333,0
0.48891667,-1.7578532e-16,0.84,0.20608333,0
0.4895,0.029166667,0.8325,0.2055,0
0.49066666,0.058333334,0.825,0.20433334,0
0.49241668,0.0875,0.8175,0.20258333,0
0.49475,0.11666667,0.81,0.20025,0
0.49766666,0.14583333,0.8025,0.19733334,0
0.50116664,0.175,0.795,0.19383334,0
0.50525,0.20416667,0.7875,0.18975,0
0.50991666,0.23333333,0.78,0.18508333,0
0.51516664,0.2625,0.7725,0.17983334,0
0.521,0.29166666,0.765,0.174,0
0.52741665,0.32083333,0.7575,0.16758333,0
0.5344167,0.35,0.75,0.16058333,0
0.542,0.37916666,0.7425,0.153,0
0.55016667,0.40833333,0.735,0.14483333,0
0.5589167,0.4375,0.7275,0.13608333,0
0.56825,0.46666667,0.72,0.12675,0
0.57816666,0.49583334,0.7125,0.11683334,0
0.5886667,0.525,0.705,0.10633333,1
0.5775833,-0.5541667,0.6975,0.117416665,1
0.5665,-0.5541667,0.69,0.1285,1
0.55541664,-0.5541667,0.6825,0.13958333,1
0.54433334,-0.5541667,0.675,0.15066667,1
0.53325,-0.5541667,0.6675,0.16175,1
0.52216667,-0.5541667,0.66,0.17283334,1
0.5110833,-0.5541667,0.6525,0.18391667,1
0.5,-0.5541667,0.645,0.195,1
0.48891667,-0.5541667,0.6375,0.20608333,1
0.47783333,-0.5541667,0.63,0.21716666,1
0.46675,-0.5541667,0.6225,0.22825,1
0.45566666,-0.5541667,0.615,0.23933333,1
0.44458333,-0.5541667,0.6075,0.25041667,1
0.4335,-0.5541667,0.6,0.2615,1
0.42241666,-0.5541667,0.5925,0.27258334,1
0.41133332,-0.5541667,0.585,0.28366667,1
0.40025,-0.5541667,0.5775,0.29475,1
0.38916665,-0.5541667,0.57,0.30583334,1
0.37808332,-0.5541667,0.5625,0.31691667,1
0.367,-0.5541667,0.555,0.328,1
0.35591668,-0.5541667,0.5475,0.33908334,1
0.34483334,-0.5541667,0.54,0.35016668,1
0.33375,-0.5541667,0.5325,0.36125,1
0.32266667,-0.5541667,0.525,0.37233335,1
0.31158334,-0.5541667,0.5175,0.38341665,1
0.3005,-0.5541667,0.51,0.3945,1
0.28941667,-0.5541667,0.5025,0.40558332,1
0.27833334,-0.5541667,0.495,0.41666666,1
0.26725,-0.5541667,0.4875,0.42775,1
0.25616667,-0.5541667,0.48,0.43883333,1
0.24508333,-0.5541667,0.4725,0.44991666,1
0.234,-0.5541667,0.465,0.461,1
0.22291666,-0.5541667,0.4575,0.47208333,1
0.21183333,-0.5541667,0.45,0.48316666,1
0.20075,-0.5541667,0.4425,0.49425,1
0.18966667,-0.5541667,0.435,0.5053333,1
0.17858334,-0.5541667,0.4275,0.51641667,1
0.1675,-0.5541667,0.42,0.5275,1
0.15641667,-0.5541667,0.4125,0.53858334,1
0.14533333,-0.5541667,0.405,0.54966664,1
0.13425,-0.5541667,0.3975,0.56075,1
0.123166665,-0.5541667,0.39,0.5718333,1
0.11208333,-0.5541667,0.3825,0.5829167,1
0.101,-0.5541667,0.375,0.594,1
0.08991667,-0.5541667,0.3675,0.60508335,1
0.078833334,-0.5541667,0.36,0.61616665,1
0.06775,-0.5541667,0.3525,0.62725,1
0.05666667,-0.5541667,0.345,0.6383333,1
0.045583334,-0.5541667,0.3375,0.6494167,1
0.0345,-0.5541667,0.33,0.6605,1
0.023416666,-0.5541667,0.3225,0.67158335,1
0.0123333335,-0.5541667,0.315,0.68266666,1
0.00125,-0.5541667,0.3075,0.69375,1
0.5,0.0,1.0,-0.33,0
0.50058335,0.029166667,1.0,-0.33058333,0
0.50175,0.058333334,1.0,-0.33175,0
0.5035,0.0875,1.0,-0.3335,0
0.5058333,0.11666667,1.0,-0.33583334,0
0.50875,0.14583333,1.0,-0.33875,0
0.51225,0.175,1.0,-0.34225,0
0.51633334,0.20416667,1.0,-0.34633332,0
0.521,0.23333333,1.0,-0.351,0
0.52625,0.2625,1.0,-0.35625,0
0.53208333,0.29166666,1.0,-0.36208335,0
0.5385,0.32083333,1.0,-0.3685,0
0.5455,0.35,1.0,-0.3755,0
0.55308336,0.37916666,1.0,-0.38308334,0
0.56125,0.40833333,1.0,-0.39125,0
0.57,0.4375,1.0,-0.4,0
0.5793333,0.46666667,1.0,-0.40933332,0
0.58925,0.49583334,0.9975,-0.41925,0
0.59975,0.525,0.99,-0.42975,1
0.5886667,-0.5541667,0.9825,-0.41866666,0
0.57816666,-0.525,0.975,-0.40816668,0
0.56825,-0.49583334,0.9675,-0.39825,0
0.5589167,-0.46666667,0.96,-0.38891667,0
0.55016667,-0.4375,0.9525,-0.38016668,0
0.542,-0.40833333,0.945,-0.372,0
0.5344167,-0.37916666,0.9375,-0.36441666,0
0.52741665,-0.35,0.93,-0.35741666,0
0.521,-0.32083333,0.9225,-0.351,0
0.51516664,-0.29166666,0.915,-0.34516665,0
0.50991666,-0.2625,0.9075,-0.33991668,0
0.50525,-0.23333333,0.9,-0.33525,0
0.50116664,-0.20416667,0.8925,-0.33116665,0
0.49766666,-0.175,0.885,-0.32766667,0
0.49475,-0.14583333,0.8775,-0.32475,0
0.49241668,-0.11666667,0.87,-0.32241666,0
0.49066666,-0.0875,0.8625,-0.32066667,0
0.4895,-0.058333334,0.855,-0.3195,0
0.48891667,-0.029166667,0.8475,-0.31891668,0
0.48891667,-1.7578532e-16,0.84,-0.31891668,0
0.4895,0.029166667,0.8325,-0.3195,0
0.49066666,0.058333334,0.825,-0.32066667,0
0.49241668,0.0875,0.8175,-0.32241666,0
0.49475,0.11666667,0.81,-0.32475,0
0.49766666,0.14583333,0.8025,-0.32766667,0
0.50116664,0.175,0.795,-0.33116665,0
0.50525,0.20416667,0.7875,-0.33525,0
0.50991666,0.23333333,0.78,-0.33991668,0
0.51516664,0.2625,0.7725,-0.34516665,0
0.521,0.29166666,0.765,-0.351,0
0.52741665,0.32083333,0.7575,-0.35741666,0
0.5344167,0.35,0.75,-0.36441666,0
0.542,0.37916666,0.7425,-0.372,0
0.55016667,0.40833333,0.735,-0.38016668,0
0.5589167,0.4375,0.7275,-0.38891667,0
0.56825,0.46666667,0.72,-0.39825,0
0.57816666,0.49583334,0.7125,-0.40816668,0
0.5886667,0.525,0.705,-0.41866666,1
0.5775833,-0.5541667,0.6975,-0.40758333,0
0.56708336,-0.525,0.69,-0.39708334,0
0.5571667,-0.49583334,0.6825,-0.38716668,0
0.5478333,-0.46666667,0.675,-0.37783334,0
0.53908336,-0.4375,0.6675,-0.36908334,0
0.5309167,-0.40833333,0.66,-0.36091667,0
0.5233333,-0.37916666,0.6525,-0.35333332,0
0.51633334,-0.35,0.645,-0.34633332,0
0.50991666,-0.32083333,0.6375,-0.33991668,0
0.50408334,-0.29166666,0.63,-0.33408332,0
0.49883333,-0.2625,0.6225,-0.32883334,0
0.49416667,-0.23333333,0.615,-0.32416666,0
0.49008334,-0.20416667,0.6075,-0.32008332,0
0.48658332,-0.175,0.6,-0.31658334,0
0.48366666,-0.14583333,0.5925,-0.31366667,0
0.48133335,-0.11666667,0.585,-0.31133333,0
0.47958332,-0.0875,0.5775,-0.30958334,0
0.47841668,-0.058333334,0.57,-0.30841666,0
