run_id,episodes,gap,epsilon,lr,epochs,poly,val_acc,weights_path
1,60,170,0.05,0.05,60,1,0.9454,runs\run_1_weights.npy
2,60,170,0.05,0.05,60,2,0.9817,runs\run_2_weights.npy
3,60,170,0.05,0.05,100,1,0.9541,runs\run_3_weights.npy
4,60,170,0.05,0.05,100,2,0.9490,runs\run_4_weights.npy
5,60,170,0.05,0.1,60,1,0.9395,runs\run_5_weights.npy
6,60,170,0.05,0.1,60,2,0.9684,runs\run_6_weights.npy
7,60,170,0.05,0.1,100,1,0.9318,runs\run_7_weights.npy
8,60,170,0.05,0.1,100,2,0.9622,runs\run_8_weights.npy
9,60,170,0.15,0.05,60,1,0.8735,runs\run_9_weights.npy
10,60,170,0.15,0.05,60,2,0.9021,runs\run_10_weights.npy
11,60,170,0.15,0.05,100,1,0.8789,runs\run_11_weights.npy
12,60,170,0.15,0.05,100,2,0.8965,runs\run_12_weights.npy
13,60,170,0.15,0.1,60,1,0.8931,runs\run_13_weights.npy
14,60,170,0.15,0.1,60,2,0.9044,runs\run_14_weights.npy
15,60,170,0.15,0.1,100,1,0.9127,runs\run_15_weights.npy
16,60,170,0.15,0.1,100,2,0.9268,runs\run_16_weights.npy
17,60,150,0.05,0.05,60,1,0.9271,runs\run_17_weights.npy
18,60,150,0.05,0.05,60,2,0.9700,runs\run_18_weights.npy
19,60,150,0.05,0.05,100,1,0.9634,runs\run_19_weights.npy
20,60,150,0.05,0.05,100,2,0.9700,runs\run_20_weights.npy
21,60,150,0.05,0.1,60,1,0.9544,runs\run_21_weights.npy
22,60,150,0.05,0.1,60,2,0.9639,runs\run_22_weights.npy
23,60,150,0.05,0.1,100,1,0.9550,runs\run_23_weights.npy
24,60,150,0.05,0.1,100,2,0.9554,runs\run_24_weights.npy
25,60,150,0.15,0.05,60,1,0.8905,runs\run_25_weights.npy
26,60,150,0.15,0.05,60,2,0.9099,runs\run_26_weights.npy
27,60,150,0.15,0.05,100,1,0.8790,runs\run_27_weights.npy
28,60,150,0.15,0.05,100,2,0.9023,runs\run_28_weights.npy
29,60,150,0.15,0.1,60,1,0.9032,runs\run_29_weights.npy
30,60,150,0.15,0.1,60,2,0.8871,runs\run_30_weights.npy
31,60,150,0.15,0.1,100,1,0.9059,runs\run_31_weights.npy
32,60,150,0.15,0.1,100,2,0.9093,runs\run_32_weights.npy
33,60,130,0.05,0.05,60,1,0.9154,runs\run_33_weights.npy
34,60,130,0.05,0.05,60,2,0.9392,runs\run_34_weights.npy
35,60,130,0.05,0.05,100,1,0.9356,runs\run_35_weights.npy
36,60,130,0.05,0.05,100,2,0.9505,runs\run_36_weights.npy
37,60,130,0.05,0.1,60,1,0.9384,runs\run_37_weights.npy
38,60,130,0.05,0.1,60,2,0.9732,runs\run_38_weights.npy
39,60,130,0.05,0.1,100,1,0.9575,runs\run_39_weights.npy
40,60,130,0.05,0.1,100,2,0.9638,runs\run_40_weights.npy
41,60,130,0.15,0.05,60,1,0.8613,runs\run_41_weights.npy
42,60,130,0.15,0.05,60,2,0.8900,runs\run_42_weights.npy
43,60,130,0.15,0.05,100,1,0.8799,runs\run_43_weights.npy
44,60,130,0.15,0.05,100,2,0.9081,runs\run_44_weights.npy
45,60,130,0.15,0.1,60,1,0.9040,runs\run_45_weights.npy
46,60,130,0.15,0.1,60,2,0.9043,runs\run_46_weights.npy
47,60,130,0.15,0.1,100,1,0.9055,runs\run_47_weights.npy
48,60,130,0.15,0.1,100,2,0.9071,runs\run_48_weights.npy
49,120,170,0.05,0.05,60,1,0.9367,runs\run_49_weights.npy
50,120,170,0.05,0.05,60,2,0.9671,runs\run_50_weights.npy
51,120,170,0.05,0.05,100,1,0.9446,runs\run_51_weights.npy
52,120,170,0.05,0.05,100,2,0.9606,runs\run_52_weights.npy
53,120,170,0.05,0.1,60,1,0.9416,runs\run_53_weights.npy
54,120,170,0.05,0.1,60,2,0.9561,runs\run_54_weights.npy
55,120,170,0.05,0.1,100,1,0.9524,runs\run_55_weights.npy
56,120,170,0.05,0.1,100,2,0.9656,runs\run_56_weights.npy
57,120,170,0.15,0.05,60,1,0.8963,runs\run_57_weights.npy
58,120,170,0.15,0.05,60,2,0.9068,runs\run_58_weights.npy
59,120,170,0.15,0.05,100,1,0.8955,runs\run_59_weights.npy
60,120,170,0.15,0.05,100,2,0.9003,runs\run_60_weights.npy
61,120,170,0.15,0.1,60,1,0.9001,runs\run_61_weights.npy
62,120,170,0.15,0.1,60,2,0.8876,runs\run_62_weights.npy
63,120,170,0.15,0.1,100,1,0.8906,runs\run_63_weights.npy
64,120,170,0.15,0.1,100,2,0.9100,runs\run_64_weights.npy
65,120,150,0.05,0.05,60,1,0.9310,runs\run_65_weights.npy
66,120,150,0.05,0.05,60,2,0.9609,runs\run_66_weights.npy
67,120,150,0.05,0.05,100,1,0.9437,runs\run_67_weights.npy
68,120,150,0.05,0.05,100,2,0.9535,runs\run_68_weights.npy
69,120,150,0.05,0.1,60,1,0.9336,runs\run_69_weights.npy
70,120,150,0.05,0.1,60,2,0.9690,runs\run_70_weights.npy
71,120,150,0.05,0.1,100,1,0.9404,runs\run_71_weights.npy
72,120,150,0.05,0.1,100,2,0.9719,runs\run_72_weights.npy
73,120,150,0.15,0.05,60,1,0.8638,runs\run_73_weights.npy
74,120,150,0.15,0.05,60,2,0.8986,runs\run_74_weights.npy
